channel,message_id,version,published,edited,currency_a,currency_b,buy,sell,comment
GARANT,58245,v1,2025-10-24 17:04:20,2025-10-24 17:04:20,USD,UAH,42.09,42.15,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58245,v1,2025-10-24 17:04:20,2025-10-24 17:04:20,EUR,UAH,49.07,49.32,від 1000€
GARANT,58245,v1,2025-10-24 17:04:20,2025-10-24 17:04:20,EUR,UAH,49.1,49.3,від 3000€
GARANT,58245,v1,2025-10-24 17:04:20,2025-10-24 17:04:20,EUR,UAH,49.1,49.23,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58248,v1,2025-10-24 17:20:04,2025-10-24 17:20:04,EUR,USD,1.167,1.169,крос-курс (EUR/USD)
GARANT,58248,v1,2025-10-24 17:20:04,2025-10-24 17:20:04,EUR,UAH,49.15,49.23,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58248,v2,2025-10-24 17:20:04,2025-10-24 17:37:13,EUR,USD,1.167,1.169,крос-курс (EUR/USD)
GARANT,58248,v2,2025-10-24 17:20:04,2025-10-24 17:37:13,EUR,UAH,49.1,49.23,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58248,v3,2025-10-24 17:20:04,2025-10-24 18:00:12,EUR,USD,1.167,1.169,крос-курс (EUR/USD)
GARANT,58248,v3,2025-10-24 17:20:04,2025-10-24 18:00:12,USD,UAH,42.09,42.15,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58248,v4,2025-10-24 17:20:04,2025-10-24 18:00:24,EUR,USD,1.167,1.169,крос-курс (EUR/USD)
GARANT,58248,v4,2025-10-24 17:20:04,2025-10-24 18:00:24,USD,UAH,42.1,42.15,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58248,v5,2025-10-24 17:20:04,2025-10-24 18:45:16,EUR,USD,1.167,1.169,крос-курс (EUR/USD)
GARANT,58248,v5,2025-10-24 17:20:04,2025-10-24 18:45:16,USD,UAH,42.07,42.15,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58248,v6,2025-10-24 17:20:04,2025-10-24 18:45:34,EUR,USD,1.167,1.169,крос-курс (EUR/USD)
GARANT,58248,v6,2025-10-24 17:20:04,2025-10-24 18:45:34,EUR,UAH,49.1,49.25,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58248,v7,2025-10-24 17:20:04,2025-10-24 19:21:54,EUR,USD,1.167,1.169,крос-курс (EUR/USD)
GARANT,58248,v7,2025-10-24 17:20:04,2025-10-24 19:21:54,EUR,UAH,49.1,49.23,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58248,v8,2025-10-24 17:20:04,2025-10-24 19:36:58,EUR,USD,1.167,1.169,крос-курс (EUR/USD)
GARANT,58248,v8,2025-10-24 17:20:04,2025-10-24 19:36:58,USD,UAH,42.07,42.13,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58248,v8,2025-10-24 17:20:04,2025-10-24 19:36:58,EUR,UAH,49.1,49.25,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58261,v1,2025-10-25 08:05:10,2025-10-25 08:05:10,EUR,USD,1.162,1.173,крос-курс (EUR/USD)
GARANT,58261,v1,2025-10-25 08:05:10,2025-10-25 08:05:10,USD,UAH,41.97,42.27,від 1000$
GARANT,58261,v1,2025-10-25 08:05:10,2025-10-25 08:05:10,USD,UAH,42.0,42.25,від 3000$
GARANT,58261,v1,2025-10-25 08:05:10,2025-10-25 08:05:10,USD,UAH,42.05,42.25,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58261,v1,2025-10-25 08:05:10,2025-10-25 08:05:10,EUR,UAH,49.02,49.37,від 1000€
GARANT,58261,v1,2025-10-25 08:05:10,2025-10-25 08:05:10,EUR,UAH,49.05,49.35,від 3000€
